No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
374,XYL,Xylem Inc.,32366674500,133.50,0.01%,8396000000
375,RKT,"Rocket Companies, Inc.",32191478168,16.19,0.25%,4516917000
376,BIDU,"Baidu, Inc.",32183864683,88.57,-0.19%,18745416667
377,WIT,Wipro Limited,32183457522,6.16,,
378,CSGP,"CoStar Group, Inc.",31973922340,78.02,-0.59%,2598928000
379,ROK,"Rockwell Automation, Inc.",31766935950,278.65,1.17%,8979700000
380,RMD,ResMed Inc.,31327917750,213.25,2.50%,4584159000
381,BIIB,Biogen Inc.,31041280400,213.20,0.62%,9663100000
382,VEEV,Veeva Systems Inc.,31025868360,191.93,-0.88%,2487693000
383,LULU,Lululemon Athletica Inc.,31009712760,258.66,1.04%,9827377000
384,EIX,Edison International,30898021770,80.01,0.79%,16822000000
385,ARGX,argenx SE,30847117281,515.87,1.31%,35896000
386,BCE,BCE Inc.,30771305590,33.73,0.51%,18110294118
387,ADM,Archer-Daniels-Midland Company,30660100380,62.01,-0.78%,88768000000
388,FCNCO,"First Citizens BancShares, Inc.",30626577422,22.41,-0.40%,9466000000
389,HAL,Halliburton Company,30616509720,34.68,1.11%,23180000000
390,DB,Deutsche Bank Aktiengesellschaft,30306212000,15.56,-1.46%,32944444444
391,STM,ST Microelectronics,30205737140,33.76,3.59%,15410000000
392,FCNCA,"First Citizens BancShares, Inc.",30142498284,2087.69,-1.92%,9466000000
393,IRM,Iron Mountain Incorporated,30063720480,102.56,1.25%,5642803000
394,ALNY,"Alnylam Pharmaceuticals, Inc.",30036790320,237.46,1.56%,2003335000
395,TRGP,Targa Resources Corp.,29993875760,135.28,1.42%,16102200000
396,ARES,Ares Management Corporation,29980320800,153.20,2.42%,3525885000
397,FWONK,Formula One Group - Series C,29749347600,80.87,-0.60%,
398,PPG,"PPG Industries, Inc.",29624434000,126.98,-0.18%,18099000000
399,FWONA,Formula One Group - Series A,29569364368,73.97,-0.75%,12718000000
400,ORAN,Orange S.A.,29532118893,11.11,0.36%,49024444444
401,FER,Ferrovial SE,29526848560,39.82,-6.39%,9461111111
402,VRT,Vertiv Holdings Co,29524147600,78.70,7.76%,7199900000
403,DVN,Devon Energy Corporation,29514711160,47.03,1.86%,15031000000
404,CDW,CDW Corporation,29313547780,218.11,-6.18%,21145600000
405,LVS,Las Vegas Sands Corp.,29214257440,39.67,0.51%,11430000000
406,HEI,HEICO Corporation,29160969327,241.34,1.12%,3511107000
407,AVB,"AvalonBay Communities, Inc.",29136755120,204.92,-0.59%,2806059000
408,HEI-A,HEICO Corporation,29120089364,190.11,1.27%,3511107000
409,FITB,Fifth Third Bancorp,28962465300,42.34,0.19%,8145000000
410,SLF,Sun Life Financial Inc.,28835911720,49.61,-0.62%,23076470588
411,CHT,"Chunghwa Telecom Co., Ltd.",28818926750,37.15,1.45%,7000048953
412,MTB,M&T Bank Corporation,28727253180,172.17,-0.83%,8772603000
413,WTW,Willis Towers Watson PLC,28667227680,282.28,-0.75%,9686000000
414,MSTR,MicroStrategy Incorporated,28635976128,1614.44,0.65%,489592000
415,TSCO,Tractor Supply Company,28388529200,263.32,0.60%,14651350000
416,BRO,"Brown & Brown, Inc.",28363501230,99.43,-0.41%,4529900000
417,GFS,GLOBALFOUNDRIES Inc.,28336322803,51.01,3.01%,7100000000
418,WAB,Westinghouse Air Brake Technologies Corporation,28230740450,161.15,1.11%,10217000000
419,IX,ORIX Corporation,27918075865,120.94,3.55%,18588910172
420,EBAY,eBay Inc.,27916220000,55.61,0.38%,10158000000
421,DAL,"Delta Air Lines, Inc.",27765925380,43.02,-0.49%,60117000000
422,AWK,"American Water Works Company, Inc.",27735002280,142.36,-0.91%,4307000000
423,VST,Vistra Corp.,27525781200,79.22,14.81%,13407000000
424,PHM,"PulteGroup, Inc.",27393168000,132.00,-0.89%,16846000000
425,TCOM,Trip.com Group Limited,27393118439,42.53,1.33%,6557916667
426,ANSS,"ANSYS, Inc.",27379899000,313.63,3.02%,2227107000
427,OWL,Blue Owl Capital Inc.,27248575157,19.07,0.05%,1853962000
428,ICLR,ICON PLC,27200284104,328.44,-0.63%,8331892000
429,WEC,"WEC Energy Group, Inc.",27179727380,86.06,0.54%,8685100000
430,DXCM,"DexCom, Inc.",27177305140,67.82,-2.70%,3934800000
431,ZS,"Zscaler, Inc.",27108573150,179.35,1.47%,2029909000
432,WPM,Wheaton Precious Metals Corp.,27090164160,59.76,1.49%,1098387000
433,NVR,"NVR, Inc.",26961812128,8607.48,-0.63%,9469449000
434,RBLX,Roblox Corporation,26572799253,41.52,1.19%,2945230000
435,TW,Tradeweb Markets Inc.,26546031672,111.68,1.42%,1512047000
436,DG,Dollar General Corporation,26473159050,120.39,0.33%,39262798000
437,EQR,Equity Residential,26387820360,69.63,0.09%,2899694000
438,TTWO,"Take-Two Interactive Software, Inc.",26343352120,150.53,0.35%,5349600000
439,VLTO,Veralto Corporation,26331657984,106.56,-0.47%,5077000000
440,NET,"Cloudflare, Inc.",26331124100,77.50,1.93%,1385172000
441,PHG,Koninklijke Philips N.V.,26280193618,28.18,-0.84%,20187777778
442,NTAP,"NetApp, Inc.",26102643700,126.98,3.60%,6268000000
443,GIB,CGI Inc.,26070000066,113.97,4.83%,
444,GPN,Global Payments Inc.,25943610000,101.64,-0.18%,9782159000
445,HPE,Hewlett Packard Enterprise Company,25876429700,19.91,4.73%,28312000000
446,CQP,"Cheniere Energy Partners, L.P.",25489598639,52.66,-2.14%,9042000000
447,STT,State Street Corporation,25425658070,84.97,-0.85%,11982000000
448,TROW,"T. Rowe Price Group, Inc.",25422917580,114.21,1.34%,6796200000
449,IFF,International Flavors & Fragrances Inc.,25402317480,99.48,-0.16%,11351000000
450,APP,AppLovin Corporation,25366955036,77.10,3.03%,3625797000
451,HUBS,"HubSpot, Inc.",25329841672,497.03,1.85%,2286024000
452,DOV,Dover Corporation,25328011080,184.26,-0.14%,8531228000
453,NTR,Nutrien Ltd.,25324953600,51.20,0.89%,28338000000
454,BR,"Broadridge Financial Solutions, Inc.",25290520000,214.00,-0.65%,6401600000
455,TEF,"Telefónica, S.A.",25238134761,4.54,-0.44%,45168888889
456,FTV,Fortive Corporation,25172072700,71.85,0.91%,6155100000
457,TECK,Teck Resources Limited,25093120000,49.01,3.35%,11363503650
458,KSPI,Kaspi.kz JSC,24979624670,130.13,0.49%,4363178674
459,KB,KB Financial Group Inc.,24960024333,65.21,0.38%,11312794935
460,DTE,DTE Energy Company,24952120600,120.53,-0.08%,12397000000
461,VOD,Vodafone Group PLC,24900033600,9.36,-0.69%,39909782609
462,FNV,Franco-Nevada Corporation,24799910720,128.96,1.45%,1199500000
463,ETR,Entergy Corporation,24763885890,115.97,-0.32%,11960981000
464,CAH,"Cardinal Health, Inc.",24558860610,100.83,0.57%,220572000000
465,KEYS,"Keysight Technologies, Inc.",24360408230,139.57,2.66%,5168000000
466,FE,FirstEnergy Corp.,24119875560,41.91,0.26%,13200000000
467,TYL,"Tyler Technologies, Inc.",24119280483,568.11,-1.12%,1992256000
468,RJF,"Raymond James Financial, Inc.",24044132000,116.00,0.42%,12091000000
469,PUK,Prudential plc,24017004593,18.20,2.77%,10831000000
470,CHD,"Church & Dwight Co., Inc.",23965699230,98.01,-1.43%,5941400000
471,TU,TELUS Corporation,23919480000,16.14,0.94%,14767647059
472,FMX,"Fomento Económico Mexicano, SAB de CV",23686661250,110.25,1.89%,41432311321
473,STE,STERIS plc,23602190032,238.76,0.64%,5138701000
474,SBAC,SBA Communications Corporation,23588036220,219.54,0.73%,2693930000
475,TME,Tencent Music Entertainment Group,23463585409,14.18,2.01%,3821666667
476,DECK,Deckers Outdoor Corporation,23444581878,922.63,1.25%,4287763000
477,SW,Smurfit WestRock plc,23213216596,44.84,-4.07%,
478,ROL,"Rollins, Inc.",23203483740,47.91,-0.13%,3234782000
479,FSLR,"First Solar, Inc.",23119785590,215.99,2.42%,3764233000
480,WY,Weyerhaeuser Company,23099524400,31.76,,7531000000
481,ZBH,"Zimmer Biomet Holdings, Inc.",22907812800,111.35,-0.02%,7452500000
482,ES,Eversource Energy,22864872050,64.91,-1.59%,11447637000
483,AXON,"Axon Enterprise, Inc.",22640914672,300.01,-1.55%,1681084000
484,PBA,Pembina Pipeline Corporation,22451069680,38.74,0.86%,6152941176
485,DLTR,"Dollar Tree, Inc.",22427256960,104.34,-0.94%,30912800000
486,BBD,Banco Bradesco S.A.,22302110438,2.22,,15054917659
487,WST,"West Pharmaceutical Services, Inc.",22210061672,306.17,2.29%,2876900000
488,ERIC,Telefonaktiebolaget LM Ericsson (publ),22144202583,6.89,0.29%,26126091270
489,QSR,Restaurant Brands International Inc.,22143576180,69.99,1.30%,7171000000
490,LYV,"Live Nation Entertainment, Inc.",22099075360,96.19,1.66%,23813905000
491,SHG,"Shinhan Financial Group Co., Ltd.",22071723458,43.33,1.00%,14052720815
492,EC,Ecopetrol S.A.,22038551200,10.72,2.49%,36965987789
493,VTR,"Ventas, Inc.",22035896560,54.44,-0.77%,4620496000
494,PPL,PPL Corporation,21925662520,29.72,-0.83%,8201000000
495,WDC,Western Digital Corporation,21893501250,67.05,6.13%,11911000000
496,SNAP,Snap Inc.,21858648977,13.32,1.76%,4812280000
497,PINS,"Pinterest, Inc.",21827279327,31.95,-14.46%,3338128000
498,HBAN,Huntington Bancshares Incorporated,21666287500,14.95,-1.32%,6769000000
499,ASX,"ASE Technology Holding Co., Ltd.",21641241090,10.02,3.51%,18063583282
500,INVH,Invitation Homes Inc.,21606190380,35.27,0.80%,2541506000
